"County";"0-59 m";"60-159 m";"160-299 m";"300-599 m";"600-899 m";"900-1199 m";"1200-1499 m";"1500-1799 m";"1800-2099 m";"2100-2700 m"
" ";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area"
"Kvalsund";80.00;167.60;563.60;979.30;52.70;0.30;0.00;0.00;0.00;0.00
"Måsøy";149.30;223.20;432.90;330.50;0.10;0.00;0.00;0.00;0.00;0.00
"Nordkapp";134.50;200.40;418.00;170.90;0.00;0.00;0.00;0.00;0.00;0.00
"Porsanger - Porsángu - Porsanki";312.00;576.70;1015.20;2324.40;620.90;23.80;0.00;0.00;0.00;0.00
"Kárásjohka - Karasjok";0.00;99.10;1246.10;4098.70;19.40;0.40;0.00;0.00;0.00;0.00
"Lebesby";197.30;356.70;1302.40;1425.30;173.10;4.10;0.00;0.00;0.00;0.00
"Gamvik";96.60;202.10;558.30;550.70;5.80;0.00;0.00;0.00;0.00;0.00
"Berlevåg";74.90;134.60;426.60;483.90;0.20;0.00;0.00;0.00;0.00;0.00
"Deatnu - Tana";266.20;539.70;1480.00;1591.70;169.50;8.20;0.00;0.00;0.00;0.00
"Unjárga - Nesseby";121.60;280.20;688.10;352.10;0.00;0.00;0.00;0.00;0.00;0.00
