lat,lng,dates
63.85,12.22,2011-07-01
61.79,10.11,2011-09-01
66.98,14.66,2011-09-01
61.67,9.95,2011-08-01
62.28,10.68,2011-07-01
61.67,9.94,2011-08-01
61.68,9.93,2011-08-01
62.58,10.87,2011-08-01
61.86,7.8,2011-08-01
61.7,9.92,2011-08-01
61.69,9.83,2011-08-01
62.48,9.4,2011-08-01
62.59,10.92,2011-08-01
61.66,9.76,2011-09-01
64.11,12.19,2011-09-01
64.12,12.21,2011-09-01
61.71,9.93,2011-09-01
62.34,10.26,2011-09-01
62.39,8.29,2011-09-01
61.75,9.8,2011-09-01
61.68,9.87,2011-09-01
62.24,9.7,2011-09-01
69.21,24.26,2011-01-01
66.26,14.36,2011-01-01
70.02,28.42,2011-02-01
62.18,8.14,2011-09-01
67.97,15.73,2011-10-01
62.23,10.64,2011-09-01
62.43,7.39,2011-01-01
68.85,17.55,2011-05-01
69.68,25.08,2011-03-01
69.67,25.11,2011-03-01
68.47,19.82,2011-03-01
64.93,14.04,2011-05-01
61.3,10.69,2011-06-01
61.61,7.56,2011-09-01
61.61,7.55,2011-09-01
69.99,25.27,2011-10-01
62.07,8.34,2011-08-01
61.94,8.87,2011-09-01
61.29,10.75,2011-09-01
61.73,9.86,2011-09-01
62.47,8.97,2011-08-01
62.06,8.53,2011-08-01
61.7,9.89,2011-08-01
65.26,13.26,2011-08-01
62.06,8.47,2011-08-01
62.71,9.64,2011-08-01
62.58,10.87,2011-08-01
62.32,10.34,2011-08-01
62.04,11.52,2011-07-01
62.72,8.85,2011-08-01
62.37,8.26,2011-09-01
64.07,12.01,2011-01-01
69.31,25.28,2011-01-01
62.04,8.43,2011-09-01
61.67,9.93,2011-10-01
67.15,14.85,2011-10-01
65.07,13.67,2011-12-01
70.04,23.96,2011-08-01
69.68,25.08,2011-03-01
69.67,25.11,2011-03-01
68.47,19.82,2011-03-01
64.93,14.04,2011-05-01
61.3,10.69,2011-06-01
61.61,7.56,2011-09-01
61.61,7.55,2011-09-01
69.99,25.27,2011-10-01
62.07,8.34,2011-08-01
61.94,8.87,2011-09-01
68.98,25.01,2011-04-01
61.3,10.67,2011-06-01
61.33,9.23,2011-09-01
61.61,7.56,2011-09-01
61.7,9.92,2011-09-01
61.29,10.75,2011-09-01
62.05,8.53,2011-08-01
63.69,11.67,2011-09-01
62.43,9.29,2011-08-01
62.56,10.52,2011-08-01
61.7,9.9,2011-08-01
62.03,10.71,2011-08-01
66.89,14.62,2011-08-01
